0.123,2.1522,0,0.5425,1.3502,0.51055
0.124,2.1537,0,0.54239,1.3497,0.51043
0.125,2.1551,0,0.54229,1.3493,0.5103
0.126,2.1564,0,0.54219,1.3489,0.51018
0.127,2.1577,0,0.54209,1.3485,0.51005
0.128,2.159,0,0.542,1.3481,0.50993
0.129,2.1603,0,0.54191,1.3476,0.5098
0.13,2.1615,0,0.54182,1.3472,0.50968
0.131,2.1626,0,0.54174,1.3468,0.50955
0.132,2.1638,0,0.54165,1.3464,0.50943
0.133,2.1649,0,0.54157,1.346,0.5093
0.134,2.1659,0,0.5415,1.3456,0.50918
0.135,2.167,0,0.54142,1.3451,0.50905
0.136,2.168,0,0.54135,1.3447,0.50893
0.137,2.169,0,0.54128,1.3443,0.50881
0.138,2.1699,0,0.54121,1.3439,0.50868
0.139,2.1708,0,0.54114,1.3435,0.50856
0.14,2.1717,0,0.54108,1.3431,0.50843
0.141,2.1726,0,0.54101,1.3426,0.50831
0.142,2.1734,0,0.54095,1.3422,0.50818
0.143,2.1742,0,0.54089,1.3418,0.50806
0.144,2.175,0,0.54084,1.3414,0.50794
0.145,2.1758,0,0.54078,1.341,0.50781
0.146,2.1765,0,0.54073,1.3406,0.50769
0.147,2.1772,0,0.54067,1.3401,0.50756
0.148,2.1779,0,0.54062,1.3397,0.50744
0.149,2.1786,0,0.54057,1.3393,0.50731
0.15,2.1793,0,0.54053,1.3389,0.50719
0.151,2.1799,0,0.54048,1.3385,0.50707
0.152,2.1805,0,0.54044,1.3381,0.50694
0.153,2.1811,0,0.54039,1.3376,0.50682
0.154,2.1817,0,0.54035,1.3372,0.50669
0.155,2.1823,0,0.54031,1.3368,0.50657
0.156,2.1828,0,0.54027,1.3364,0.50644
0.157,2.1833,0,0.54023,1.336,0.50632
0.158,2.1839,0,0.54019,1.3356,0.5062
0.159,2.1844,0,0.54016,1.3352,0.50607
0.16,2.1848,0,0.54012,1.3347,0.50595
0.161,2.1853,0,0.54009,1.3343,0.50582
0.162,2.1858,0,0.54005,1.3339,0.5057
0.163,2.1862,0,0.54002,1.3335,0.50558
0.164,2.1866,0,0.53999,1.3331,0.50545
0.165,2.1871,0,0.53996,1.3327,0.50533
0.166,2.1875,0,0.53993,1.3322,0.5052
0.167,2.1878,0,0.5399,1.3318,0.50508
0.168,2.1882,0,0.53987,1.3314,0.50495
0.169,2.1886,0,0.53985,1.331,0.50483
0.17,2.189,0,0.53982,1.3306,0.50471
0.171,2.1893,0,0.53979,1.3302,0.50458
0.172,2.1896,0,0.53977,1.3297,0.50446
0.173,2.19,0,0.53975,1.3293,0.50433
0.174,2.1903,0,0.53972,1.3289,0.50421
0.175,2.1906,0,0.5397,1.3285,0.50409
0.176,2.1909,0,0.53968,1.3281,0.50396
0.177,2.1912,0,0.53966,1.3277,0.50384
0.178,2.1915,0,0.53964,1.3273,0.50371
0.179,2.1917,0,0.53962,1.3268,0.50359
0.18,2.192,0,0.5396,1.3264,0.50347
0.181,2.1922,0,0.53958,1.326,0.50334
0.182,2.1925,0,0.53956,1.3256,0.50322
0.183,2.1927,0,0.53954,1.3252,0.50309
0.184,2.193,0,0.53953,1.3248,0.50297
0.185,2.1932,0,0.53951,1.3243,0.50285
0.186,2.1934,0,0.53949,1.3239,0.50272
0.187,2.1936,0,0.53948,1.3235,0.5026
0.188,2.1938,0,0.53946,1.3231,0.50247
0.189,2.194,0,0.53945,1.3227,0.50235
0.19,2.1942,0,0.53943,1.3223,0.50223
0.191,2.1944,0,0.53942,1.3219,0.5021
0.192,2.1946,0,0.53941,1.3214,0.50198
0.193,2.1948,0,0.53939,1.321,0.50185
0.194,2.195,0,0.53938,1.3206,0.50173
0.195,2.1951,0,0.53937,1.3202,0.50161
0.196,2.1953,0,0.53936,1.3198,0.50148
0.197,2.1954,0,0.53935,1.3194,0.50136
0.198,2.1956,0,0.53933,1.3189,0.50123
0.199,2.1957,0,0.53932,1.3185,0.50111
